cluster,gene,score,log2fc,pval,pval_adj
0,MT-CO1,35.84813,1.8868651,1.9667471026698706e-281,5.397147399146659e-277
0,MT-CO3,32.56835,1.9007548,1.1513757825389084e-232,1.5798027112216364e-228
0,MT-CYB,32.398376,2.0259752,2.893204836620209e-230,2.646510904217726e-226
0,MT-ND4,29.779678,1.9564315,7.161682463591493e-195,4.913272254146944e-191
0,MT-CO2,28.81783,1.8034141,1.282543562727222e-182,7.039112089672085e-179
0,MT-ATP6,26.060587,1.9178278,1.0206237885197585e-149,4.667993000759869e-146
0,MT-ND2,24.85734,2.0380344,2.154008454969082e-136,8.444328574465935e-133
0,MT-ND1,23.919731,1.8720093,1.909273619806159e-126,6.549285834340076e-123
0,MT-ND5,23.9099,1.9118569,2.4162876612797396e-126,7.367529555648735e-123
0,VIM,22.56496,1.3586658,9.575789365403365e-113,2.6277881176539915e-109
1,PAX7,27.69682,0.8302856,7.626266613480918e-169,2.092800084071434e-164
1,TENM4,21.393219,0.8012168,1.5451663345538007e-101,2.12012272764127e-97
1,CLCN5,20.465712,0.5509384,4.352778330433377e-93,3.981631431458424e-89
1,HMCN2,19.567835,0.61802024,2.907784189074311e-85,1.9948853429144309e-81
1,CALCR,17.785927,0.8652235,9.084971678025277e-71,4.986195855767393e-67
1,MEG8,17.7061,0.56536293,3.762540385579801e-70,1.7208605543513486e-66
1,NFIA,17.318392,0.40821818,3.417778891348462e-67,1.3398669762340642e-63
1,MEG3,16.725761,0.36300212,8.508192206008132e-63,2.9185226314659394e-59
1,VAV3,16.09651,0.78283656,2.699059832466234e-58,6.733418174776217e-55
1,SPATS2L,14.863028,0.4543697,5.727718906024866e-50,9.823753888695898e-47
2,SLF2,34.20378,2.0459473,2.1243602391254557e-256,5.829669368208076e-252
2,SIRT2,32.40305,2.2567751,2.486116231287182e-230,3.4112000809491426e-226
2,CEROX1,31.181938,3.995214,1.8726015261048637e-213,1.712931035978989e-209
2,MEGF10,30.003267,1.8958559,8.896200101373609e-198,4.8825904636378916e-194
2,LINC00472,29.821692,2.6110177,2.044771512465483e-195,9.352103307512964e-192
2,HS6ST2,27.448147,2.5230966,7.310678786842064e-166,2.2291071918724435e-162
2,FGFR1,27.372297,1.8576949,5.862507554788314e-165,1.608789323185009e-161
2,GLCCI1,27.104927,2.6516345,8.613796142349762e-162,2.1489072158032924e-158
2,GPM6B,26.417362,3.0990229,8.656765316590062e-154,1.9796579484822042e-150
2,ZNF521,25.15361,1.9749405,1.2903403829771321e-139,2.529251484975604e-136
3,RYR3,19.119062,0.6742953,1.7523198764531635e-81,2.4043581024813855e-77
3,ADAMTS9-AS2,17.502602,0.863212,1.368719637297305e-68,9.390101071678162e-65
3,JAK1,16.075438,0.6170054,3.793074792649203e-58,1.3011194807484927e-54
3,RORA,15.920848,0.47730908,4.5417711552092997e-57,1.3848364893472624e-53
3,SNED1,13.983429,0.50798935,1.967729127817687e-44,4.908947520506634e-41
3,ABCA8,13.608096,0.5608337,3.5845924440127786e-42,6.148024115537417e-39
3,RBMS3,13.332245,0.43248606,1.5030641157472264e-40,2.2915047480186326e-37
3,PDE7B,12.986267,0.47966745,1.463957922054744e-38,1.9741211520966299e-35
3,MIR100HG,12.983861,0.50129277,1.510696895052446e-38,1.9741211520966299e-35
3,FRMD4A,12.408606,0.5244288,2.347053909575425e-35,2.5763141354627525e-32
4,TTN,42.108772,6.682937,0.0,0.0
4,NEB,41.741005,5.1175766,0.0,0.0
4,PDE4DIP,40.33025,4.7561903,0.0,0.0
4,TRDN,39.753975,4.6233115,0.0,0.0
4,NEAT1,39.26681,3.1988819,0.0,0.0
4,MYPN,39.160694,6.677813,0.0,0.0
4,CMYA5,38.93326,5.763445,0.0,0.0
4,OBSCN,38.572475,6.0010834,0.0,0.0
4,SVIL,38.37814,4.392938,0.0,0.0
4,TTN-AS1,37.663166,5.056432,1.99190741934145e-310,5.466192340156813e-307
