group,names,scores,logfoldchanges,pvals,pvals_adj
0,MT-CO1,41.815884,2.6300347,0.0,0.0
0,MT-CYB,38.516853,2.715359,0.0,0.0
0,MT-CO3,38.159508,2.5905678,0.0,0.0
0,MT-CO2,35.310757,2.4858792,4.015593328645168e-273,2.5839339171499495e-269
0,MT-ND4,35.289806,2.596094,8.418084581020573e-273,4.33346158061777e-269
0,MT-ATP6,30.505192,2.4569728,2.2238677554715163e-204,9.540022026346893e-201
0,MT-ND2,29.857733,2.5754282,6.967106490167244e-196,2.5618050564344957e-192
0,MT-ND1,29.560093,2.4623153,4.8717578292001284e-192,1.5674271845722762e-188
0,MT-ND5,27.847631,2.3889403,1.1506512365880302e-170,3.2907346865043677e-167
0,EEF1A1,26.943213,2.002292,6.850981145522382e-160,1.7633740370460057e-156
1,ADAMTS9-AS2,17.501749,0.96699625,1.3893489524044749e-68,3.576045268593878e-64
1,RYR3,16.808634,0.68664795,2.1097920904666068e-63,2.7151969308259996e-59
1,JAK1,16.377533,0.721202,2.767446625361228e-60,2.374376956339088e-56
1,ABCA8,16.234491,0.7548308,2.876211410323616e-59,1.850770137257989e-55
1,RORA,14.748548,0.5145794,3.143570752943989e-49,1.6182473522005066e-45
1,ALDH1A1,14.389722,0.8647133,6.003689631083024e-47,1.931612092680574e-43
1,SNED1,14.369031,0.6053698,8.09558178313677e-47,2.315246439068415e-43
1,RBMS3,14.339402,0.5321665,1.2412076101838555e-46,3.1947442678522254e-43
1,PDE7B,13.931387,0.5715659,4.0834646063629246e-44,9.55493595483412e-41
1,FOXP2,12.85484,0.69961894,8.079261715334094e-38,1.4853722663641734e-34
2,CREB5,20.405548,1.216796,1.4927779845111274e-92,3.8422612543331907e-88
2,FOS,19.25315,1.7857196,1.3283505181145408e-82,1.7095206992875082e-78
2,FOSB,14.398763,1.9498392,5.267812235282649e-47,4.5196073041313365e-43
2,NFATC2,13.851779,2.1850781,1.2409959867769426e-43,7.985498925912931e-40
2,SAMD4A,13.728509,1.0527729,6.852893689394621e-43,3.527732613426563e-39
2,JUN,12.810362,1.0129218,1.4346373098670208e-37,6.154354953111208e-34
2,DDX5,12.151122,0.49517223,5.658366593414308e-34,1.820508721848636e-30
2,ZFP36,11.443319,1.4720485,2.5397899477841147e-30,6.537165346601532e-27
2,JUND,11.347032,0.975117,7.672318977466982e-30,1.645648484675189e-26
2,ANXA1,11.154481,1.1658545,6.808893491259982e-29,1.2518150683681477e-25
3,PAX7,13.373649,0.59662604,8.620649714514444e-41,2.218869030018873e-36
3,HMCN2,12.992298,0.5582302,1.3530219526642967e-38,1.7412716019813166e-34
3,CLCN5,11.910095,0.4333523,1.0485803256297566e-32,8.996469667128101e-29
3,FRMD4A,11.281993,0.59534,1.6105478530444493e-29,1.036347279737777e-25
3,TLN2,10.043122,0.42996743,9.850596972183624e-24,5.070890309340686e-20
3,COL5A1,9.8427725,0.5485414,7.365277081246743e-23,3.1595811132368318e-19
3,KCNQ1OT1,9.823649,0.5714037,8.906016613775141e-23,3.2747423088851197e-19
3,SPATS2L,9.713609,0.38086748,2.63827245049618e-22,8.488311825415148e-19
3,MEG3,9.063151,0.29367137,1.267346034855628e-19,3.262021959114901e-16
3,MALAT1,8.470125,0.085519776,2.4512892873058694e-17,4.853364228151213e-14
4,PAX7,21.708422,0.726227,1.708227815948007e-104,1.4656025251561917e-100
4,NFIA,17.473623,0.45198482,2.275736226752195e-68,7.321896842546844e-65
4,CLCN5,16.552416,0.50301135,1.5380350540744974e-61,3.9587484256823486e-58
4,CALCR,16.532475,0.8845626,2.1416708099247515e-61,5.011314997877562e-58
4,TENM4,14.876651,0.6269075,4.673166695431242e-50,8.591616969550338e-47
4,RYR3,14.262931,0.5417915,3.724787351972272e-46,6.3914867768276206e-43
4,GPC6,12.843279,0.6393597,9.381529637190107e-38,1.2073559566581807e-34
4,PITPNC1,12.756912,0.7555594,2.852869106275818e-37,3.496666567925394e-34
4,HMCN2,12.566251,0.4586216,3.237139554575103e-36,3.62264065196559e-33
4,KANK1,12.427409,0.48977137,1.8555129118531583e-35,1.9899602849245186e-32
5,SLF2,27.343714,1.7703793,1.2827565027542143e-164,3.3016869624390724e-160
5,TLN2,24.527191,1.0554678,7.576391742065734e-133,9.750437352451496e-129
5,SIRT2,22.470621,1.6613529,8.045932490636803e-112,5.545515642541816e-108
5,HS6ST2,22.453342,2.2590048,1.1870091396388402e-111,6.110485649032821e-108
5,CADM2,22.219248,0.6672279,2.2378895959238823e-109,9.600173384914135e-106
5,LINC00882,21.551245,1.7677269,5.154165763419618e-103,1.8951867512093936e-99
5,CEROX1,21.476503,2.9137294,2.5823236373893003e-102,7.843974013018256e-99
5,HSPG2,21.44554,1.4842777,5.026036021696058e-102,1.2936514116243483e-98
5,RAPH1,20.840754,1.9204379,1.849078526921084e-96,3.966119350368482e-93
5,FGFR1,20.639414,1.5318921,1.2152532241424399e-94,2.4061079027847892e-91
6,MEGF10,27.179487,3.7046633,1.1353266783036024e-162,2.922217337285642e-158
6,LINC00472,26.911463,4.8137217,1.612675797489947e-159,2.0754331175796875e-155
6,EMC10,26.756025,5.9170847,1.0506946408121714e-157,9.014609786621494e-154
6,ENSG00000268518,26.397787,6.5727525,1.4527484592288704e-153,9.348073148022974e-150
6,SIRT2,25.650429,3.5619915,4.1816518505485925e-145,2.1526307396254044e-141
6,ZNF521,25.523397,3.928476,1.0841789561540765e-143,4.650947025408296e-140
6,ELMO1,24.902592,5.0549297,6.974567212961385e-137,2.5645483642059014e-133
6,CEROX1,24.625193,4.925346,6.787871914824061e-134,2.1839129401957063e-130
6,FNDC5,24.573254,5.828762,2.440752075077716e-133,6.980279740047258e-130
6,VSTM4,24.165737,4.447063,5.101927286425149e-129,1.313185064252969e-125
7,TTN,42.044815,6.687067,0.0,0.0
7,NEB,41.69378,5.124375,0.0,0.0
7,PDE4DIP,40.27548,4.75864,0.0,0.0
7,TRDN,39.84712,4.639202,0.0,0.0
7,NEAT1,39.412643,3.2118268,0.0,0.0
7,MYPN,39.164036,6.682703,0.0,0.0
7,CMYA5,38.881134,5.7670307,0.0,0.0
7,OBSCN,38.507286,6.0002885,0.0,0.0
7,SVIL,38.32497,4.394843,0.0,0.0
7,DMD,37.719555,3.4922068,0.0,0.0
